fullname;phone;email;bday;passport;login;password;group;purpose
Самойлова Таисия Гермоновна;+7 (891) 555-81-44;Taisiya177@lenta.ru;14 ноября 1979 года;5193 897719;Taisiya177;R94YGT3XFjgD;24/04/2023_Производство_Фомичева_9367788_ГР1;24/04/2023_9367788
Ситникова Аделаида Гермоновна;+7 (793) 736-70-31;Adelaida20@hotmail.com;21 января 1979 года;7561 148016;Adelaida20;LCY*{L*fEGYB;24/04/2023_Производство_Фомичева_9367788_ГР1;24/04/2023_9367788
Исаев Лев Юлианович;+7 (675) 593-89-30;Lev131@rambler.ru;5 августа 1994 года;1860 680004;Lev131;~?oj2Lh@S7*T;24/04/2023_Производство_Фомичева_9367788_ГР1;24/04/2023_9367788
Никифоров Даниил Степанович;+7 (384) 358-77-82;Daniil198@bk.ru;13 декабря 1970 года;4557 999958;lzaihtvkdn;L2W#uo7z{EsO;24/04/2023_Производство_Фомичева_9367788_ГР1;24/04/2023_9367788
Титова Людмила Якововна;+7 (221) 729-16-84;Lyudmila123@hotmail.com;21 августа 1976 года;7715 639425;Lyudmila123;@8mk9M?NBAGj;24/04/2023_Производство_Фомичева_9367788_ГР1;24/04/2023_9367788
Абрамова Таисия Дмитриевна;+7 (528) 312-18-20;Taisiya176@hotmail.com;20 ноября 1982 года;7310 893510;Taisiya176;~rIWfsnXA~7C;24/04/2023_Производство_Фомичева_9367788_ГР1;24/04/2023_9367788
Кузьмина Вера Максимовна;+7 (598) 583-53-45;Vera195@list.ru;10 декабря 1989 года;3537 982933;Vera195;B|5v$2r$7luL;24/04/2023_Производство_Фомичева_9367788_ГР1;24/04/2023_9367788
Мартынов Яков Ростиславович;+7 (546) 159-67-33;YAkov196@rambler.ru;5 декабря 1976 года;1793 986063;YAkov196;$6s5bggKP7aw;24/04/2023_Производство_Фомичева_9367788_ГР2;24/04/2023_9367788
Евсеева Нина Павловна;+7 (833) 521-31-50;Nina145@msn.com;26 сентября 1994 года;9323 745717;Nina145;Uxy6RtBXIcpT;24/04/2023_Производство_Фомичева_9367788_ГР2;24/04/2023_9367788
Голубев Леонтий Вячеславович;+7 (160) 527-57-41;Leontij161@mail.ru;3 октября 1990 года;1059 822077;Leontij161;KkMY8yKw@oCa;24/04/2023_Производство_Фомичева_9367788_ГР2;24/04/2023_9367788
Карпова Серафима Михаиловна;+7 (459) 930-91-70;Serafima169@yahoo.com;19 ноября 1989 года;7034 858987;Serafima169;gNe3I9}8J3Z@;24/04/2023_Производство_Фомичева_9367788_ГР2;24/04/2023_9367788
Орехов Сергей Емельянович;+7 (669) 603-29-87;Sergej35@inbox.ru;11 февраля 1972 года;3844 223682;Sergej35;$39vc%ljqN%r;24/04/2023_Производство_Фомичева_9367788_ГР2;24/04/2023_9367788
Исаев Георгий Павлович;+7 (678) 516-36-86;Georgij121@inbox.ru;11 августа 1987 года;4076 629809;Georgij121;bbx5H}f*BC?w;24/04/2023_Производство_Фомичева_9367788_ГР2;24/04/2023_9367788
Богданов Елизар Артемович;+7 (165) 768-30-97;Elizar30@yandex.ru;2 февраля 1978 года;0573 198559;Elizar30;wJs1~r3RS~dr;24/04/2023_Производство_Фомичева_9367788_ГР2;24/04/2023_9367788
Тихонова Лана Семеновна;+7 (478) 467-75-15;Lana117@outlook.com;24 июля 1990 года;8761 609740;Lana117;mFoG$jcS3c4~;24/04/2023_Производство_Фомичева_9367788_ГР2;24/04/2023_9367788
